batch,accuracy,before_retrain,after_retrain,ks_drift,psi_drift,error_drift
0,0.932,0.932,0.932,0,0,0
1,0.922,0.922,0.922,1,1,0
2,0.916,0.916,0.916,0,1,0
3,0.548,0.548,0.548,1,1,1
4,0.55,0.55,0.55,1,1,1
5,0.554,0.554,0.558,1,1,1
6,0.532,0.532,0.562,1,1,1
7,0.57,0.57,0.538,1,1,1
8,0.526,0.526,0.552,1,1,1
9,0.528,0.528,0.53,1,1,1
10,0.522,0.522,0.542,1,1,1
11,0.572,0.572,0.554,1,1,1
12,0.566,0.566,0.56,1,1,1
13,0.54,0.54,0.546,1,1,1
14,0.538,0.538,0.548,1,1,1
15,0.534,0.534,0.53,1,1,1
16,0.576,0.576,0.548,1,1,1
17,0.55,0.55,0.524,1,1,1
18,0.538,0.538,0.542,1,1,1
19,0.5890909090909091,0.5890909090909091,0.5345454545454545,1,1,1
